item_folder,image_count
014_Ceramic,706
004_Plastic drink cup,451
030_Potted plant,389
011_Canned potato chips,323
024_Ballpoint pen,316
025_Plush toy,304
022_Plastic spoon,302
003_Safety helmet,298
017_Shower gel bottle,281
005_Paper drink cup,281
013_Lightweight raincoat,271
015_Paper shopping bag,248
026_Face wash,247
016_Comb,233
031_Yakult,215
044_Water filter cartridge,210
009_Bagged potato chips,190
028_Onion mesh bag,188
007_Paper lunch box,180
029_Charging cable,167
046_Phone case,158
018_Medical mask,151
010_Rubber band,149
042_Milk carton,144
045_Earphone,123
006_Styrofoam drink cup,120
034_Wooden product,120
012_Pizza box,118
038_Yoga mat,114
041_Fruit mesh bag,100
039_Toilet brush,96
008_Electronic receipt,95
035_Plastic meal box,85
032_Advertising flyer,75
002_Dirty plastic bag,72
036_Creamer ball,68
023_Transparent egg box,66
048_Mirror,58
049_Bubble wrap,54
001_Red and white plastic bag,49
043_Disposable chopsticks,47
019_Online shopping damaged bag,34
040_Diaper,29
033_Thin plastic box,14
052_Shredded paper,14
