label,precision,recall,f1-score,support
Ceramic,0.877358,0.877358,0.877358,106
Glass,0.615385,1.000000,0.761905,8
Metal,0.666667,0.979592,0.793388,49
Mixed,0.914062,0.653631,0.762215,358
Organic,0.966667,0.983051,0.974790,59
Paper,0.637306,0.809211,0.713043,152
Plastic,0.867580,0.701107,0.775510,271
Rubber,0.698113,0.948718,0.804348,39
Styrofoam,0.355556,0.888889,0.507937,18
Textile,0.718519,0.889908,0.795082,109
Wood,0.571429,0.960000,0.716418,25
accuracy,0.777219,0.777219,0.777219,1194
macro avg,0.717149,0.881042,0.771090,1194
weighted avg,0.814969,0.777219,0.780561,1194
