label,precision,recall,f1-score,support
Ceramic,0.885714,0.877358,0.881517,106
Glass,0.666667,1.000000,0.800000,8
Metal,0.676056,0.979592,0.800000,49
Mixed,0.909091,0.670391,0.771704,358
Organic,0.966667,0.983051,0.974790,59
Paper,0.655738,0.789474,0.716418,152
Plastic,0.844156,0.719557,0.776892,271
Rubber,0.725490,0.948718,0.822222,39
Styrofoam,0.298246,0.944444,0.453333,18
Textile,0.798319,0.871560,0.833333,109
Wood,0.585366,0.960000,0.727273,25
accuracy,0.783082,0.783082,0.783082,1194
macro avg,0.728319,0.885831,0.777953,1194
weighted avg,0.819586,0.783082,0.788525,1194
