label,precision,recall,f1-score,support
Ceramic,0.942857,0.933962,0.938389,106
Glass,0.636364,0.875000,0.736842,8
Metal,0.671233,1.000000,0.803279,49
Mixed,0.960993,0.756983,0.846875,358
Organic,0.920635,0.983051,0.950820,59
Paper,0.765432,0.815789,0.789809,152
Plastic,0.879032,0.804428,0.840077,271
Rubber,0.627119,0.948718,0.755102,39
Styrofoam,0.500000,0.833333,0.625000,18
Textile,0.765152,0.926606,0.838174,109
Wood,0.827586,0.960000,0.888889,25
accuracy,0.840034,0.840034,0.840034,1194
macro avg,0.772400,0.894352,0.819387,1194
weighted avg,0.861298,0.840034,0.842545,1194
