label,precision,recall,f1-score,support
Ceramic,0.930000,0.877358,0.902913,106
Glass,0.636364,0.875000,0.736842,8
Metal,0.671429,0.959184,0.789916,49
Mixed,0.942373,0.776536,0.851455,358
Organic,0.983333,1.000000,0.991597,59
Paper,0.778481,0.809211,0.793548,152
Plastic,0.882591,0.804428,0.841699,271
Rubber,0.711538,0.948718,0.813187,39
Styrofoam,0.326087,0.833333,0.468750,18
Textile,0.798450,0.944954,0.865546,109
Wood,0.884615,0.920000,0.901961,25
accuracy,0.840034,0.840034,0.840034,1194
macro avg,0.776842,0.886247,0.814310,1194
weighted avg,0.864518,0.840034,0.845393,1194
