model_name,true_label,pred_label,count
resnet50_finetuned,Mixed,Paper,20
resnet50_finetuned,Plastic,Mixed,15
resnet50_finetuned,Mixed,Plastic,14
resnet50_finetuned,Plastic,Paper,10
resnet50_finetuned,Mixed,Textile,9
resnet50_finetuned,Plastic,Textile,9
resnet50_finetuned,Mixed,Metal,6
resnet50_finetuned,Ceramic,Mixed,5
resnet50_finetuned,Rubber,Plastic,4
resnet50_finetuned,Plastic,Ceramic,4
resnet50_finetuned,Textile,Plastic,4
resnet50_finetuned,Mixed,Rubber,4
resnet50_finetuned,Paper,Plastic,3
resnet50_finetuned,Paper,Mixed,3
resnet50_finetuned,Paper,Rubber,3
resnet50_finetuned,Paper,Textile,3
resnet50_finetuned,Ceramic,Paper,3
resnet50_finetuned,Styrofoam,Paper,3
resnet50_finetuned,Textile,Paper,2
resnet50_finetuned,Wood,Textile,2
resnet50_finetuned,Rubber,Paper,2
resnet50_finetuned,Paper,Ceramic,2
resnet50_finetuned,Paper,Styrofoam,2
resnet50_finetuned,Mixed,Ceramic,2
resnet50_finetuned,Ceramic,Plastic,1
resnet50_finetuned,Metal,Paper,1
resnet50_finetuned,Mixed,Glass,1
resnet50_finetuned,Ceramic,Textile,1
resnet50_finetuned,Glass,Plastic,1
resnet50_finetuned,Plastic,Glass,1
resnet50_finetuned,Mixed,Styrofoam,1
resnet50_finetuned,Mixed,Wood,1
resnet50_finetuned,Organic,Ceramic,1
resnet50_finetuned,Paper,Glass,1
resnet50_finetuned,Styrofoam,Mixed,1
resnet50_finetuned,Plastic,Wood,1
resnet50_finetuned,Plastic,Rubber,1
resnet50_finetuned,Plastic,Styrofoam,1
resnet50_finetuned,Textile,Organic,1
resnet50_finetuned,Styrofoam,Plastic,1
resnet50_finetuned,Textile,Rubber,1
resnet50_finetuned,Wood,Paper,1
