label,precision,recall,f1-score,support
Ceramic,0.884615,0.867925,0.876190,106
Glass,0.636364,0.875000,0.736842,8
Metal,0.727273,0.979592,0.834783,49
Mixed,0.893293,0.818436,0.854227,358
Organic,0.982759,0.966102,0.974359,59
Paper,0.825175,0.776316,0.800000,152
Plastic,0.857708,0.800738,0.828244,271
Rubber,0.705882,0.923077,0.800000,39
Styrofoam,0.483871,0.833333,0.612245,18
Textile,0.778689,0.871560,0.822511,109
Wood,0.851852,0.920000,0.884615,25
accuracy,0.838358,0.838358,0.838358,1194
macro avg,0.784316,0.875643,0.820365,1194
weighted avg,0.848037,0.838358,0.840050,1194
