label,precision,recall,f1-score,support
Ceramic,0.817391,0.886792,0.850679,106
Glass,0.538462,0.875000,0.666667,8
Metal,0.705882,0.979592,0.820513,49
Mixed,0.907801,0.715084,0.800000,358
Organic,0.982143,0.932203,0.956522,59
Paper,0.715976,0.796053,0.753894,152
Plastic,0.849593,0.771218,0.808511,271
Rubber,0.739130,0.871795,0.800000,39
Styrofoam,0.382353,0.722222,0.500000,18
Textile,0.729323,0.889908,0.801653,109
Wood,0.750000,0.960000,0.842105,25
accuracy,0.802345,0.802345,0.802345,1194
macro avg,0.738005,0.854533,0.781868,1194
weighted avg,0.822028,0.802345,0.804754,1194
