,precision,recall,f1-score,support
Ceramic,0.9142857142857143,0.9056603773584906,0.909952606635071,106.0
Glass,0.7,0.875,0.7777777777777778,8.0
Metal,0.8888888888888888,0.9795918367346939,0.9320388349514563,49.0
Mixed,0.9259259259259259,0.8379888268156425,0.8797653958944281,358.0
Organic,0.9830508474576272,0.9830508474576272,0.9830508474576272,59.0
Paper,0.7627118644067796,0.8881578947368421,0.8206686930091185,152.0
Plastic,0.8910505836575876,0.8450184501845018,0.8674242424242424,271.0
Rubber,0.7857142857142857,0.8461538461538461,0.8148148148148148,39.0
Styrofoam,0.7647058823529411,0.7222222222222222,0.7428571428571429,18.0
Textile,0.808,0.926605504587156,0.8632478632478633,109.0
Wood,0.9166666666666666,0.88,0.8979591836734694,25.0
accuracy,0.8726968174204355,0.8726968174204355,0.8726968174204355,0.8726968174204355
macro avg,0.8491818781233107,0.8808590732955476,0.8626870366130011,1194.0
weighted avg,0.8780188140738997,0.8726968174204355,0.8733743109194155,1194.0
