label,precision,recall,f1-score,support
Ceramic,0.909091,0.849057,0.878049,106
Glass,0.636364,0.875000,0.736842,8
Metal,0.872727,0.979592,0.923077,49
Mixed,0.926045,0.804469,0.860987,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.717391,0.868421,0.785714,152
Plastic,0.903614,0.830258,0.865385,271
Rubber,0.739130,0.871795,0.800000,39
Styrofoam,0.451613,0.777778,0.571429,18
Textile,0.816667,0.899083,0.855895,109
Wood,0.758621,0.880000,0.814815,25
accuracy,0.850921,0.850921,0.850921,1194
macro avg,0.792210,0.874409,0.825022,1194
weighted avg,0.864826,0.850921,0.853876,1194
