label,precision,recall,f1-score,support
Ceramic,0.942308,0.924528,0.933333,106
Glass,0.875000,0.875000,0.875000,8
Metal,0.924528,1.000000,0.960784,49
Mixed,0.907563,0.905028,0.906294,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.821656,0.848684,0.834951,152
Plastic,0.913725,0.859779,0.885932,271
Rubber,0.891892,0.846154,0.868421,39
Styrofoam,0.823529,0.777778,0.800000,18
Textile,0.854701,0.917431,0.884956,109
Wood,0.766667,0.920000,0.836364,25
accuracy,0.894472,0.894472,0.894472,1194
macro avg,0.882238,0.896130,0.888099,1194
weighted avg,0.895764,0.894472,0.894558,1194
