label,precision,recall,f1-score,support
Ceramic,0.933333,0.924528,0.928910,106
Glass,0.800000,1.000000,0.888889,8
Metal,0.816667,1.000000,0.899083,49
Mixed,0.933962,0.829609,0.878698,358
Organic,0.966667,0.983051,0.974790,59
Paper,0.767857,0.848684,0.806250,152
Plastic,0.904382,0.837638,0.869732,271
Rubber,0.729167,0.897436,0.804598,39
Styrofoam,0.625000,0.833333,0.714286,18
Textile,0.846154,0.908257,0.876106,109
Wood,0.727273,0.960000,0.827586,25
accuracy,0.870184,0.870184,0.870184,1194
macro avg,0.822769,0.911140,0.860812,1194
weighted avg,0.878261,0.870184,0.871345,1194
