label,precision,recall,f1-score,support
Ceramic,0.906542,0.915094,0.910798,106
Glass,0.600000,0.750000,0.666667,8
Metal,0.813559,0.979592,0.888889,49
Mixed,0.929012,0.840782,0.882698,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.800000,0.894737,0.844720,152
Plastic,0.906615,0.859779,0.882576,271
Rubber,0.760870,0.897436,0.823529,39
Styrofoam,0.833333,0.833333,0.833333,18
Textile,0.842975,0.935780,0.886957,109
Wood,0.956522,0.880000,0.916667,25
accuracy,0.881910,0.881910,0.881910,1194
macro avg,0.848407,0.888144,0.865444,1194
weighted avg,0.887025,0.881910,0.882519,1194
