label,precision,recall,f1-score,support
Ceramic,0.903846,0.886792,0.895238,106
Glass,0.583333,0.875000,0.700000,8
Metal,0.800000,0.979592,0.880734,49
Mixed,0.938776,0.770950,0.846626,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.704082,0.907895,0.793103,152
Plastic,0.871094,0.822878,0.846300,271
Rubber,0.809524,0.871795,0.839506,39
Styrofoam,0.555556,0.833333,0.666667,18
Textile,0.823529,0.899083,0.859649,109
Wood,0.840000,0.840000,0.840000,25
accuracy,0.847571,0.847571,0.847571,1194
macro avg,0.801163,0.879124,0.831898,1194
weighted avg,0.861959,0.847571,0.849317,1194
