label,precision,recall,f1-score,support
Ceramic,0.923810,0.915094,0.919431,106
Glass,1.000000,0.750000,0.857143,8
Metal,0.942308,1.000000,0.970297,49
Mixed,0.910082,0.932961,0.921379,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.861842,0.861842,0.861842,152
Plastic,0.914062,0.863469,0.888046,271
Rubber,0.921053,0.897436,0.909091,39
Styrofoam,0.823529,0.777778,0.800000,18
Textile,0.869565,0.917431,0.892857,109
Wood,0.814815,0.880000,0.846154,25
accuracy,0.904523,0.904523,0.904523,1194
macro avg,0.905829,0.889006,0.895390,1194
weighted avg,0.904954,0.904523,0.904276,1194
