label,precision,recall,f1-score,support
Ceramic,0.900000,0.933962,0.916667,106
Glass,0.777778,0.875000,0.823529,8
Metal,0.827586,0.979592,0.897196,49
Mixed,0.919162,0.857542,0.887283,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.804878,0.868421,0.835443,152
Plastic,0.916000,0.845018,0.879079,271
Rubber,0.853659,0.897436,0.875000,39
Styrofoam,0.652174,0.833333,0.731707,18
Textile,0.829060,0.889908,0.858407,109
Wood,0.758621,0.880000,0.814815,25
accuracy,0.878559,0.878559,0.878559,1194
macro avg,0.838361,0.894842,0.863834,1194
weighted avg,0.882895,0.878559,0.879242,1194
