label,precision,recall,f1-score,support
Ceramic,0.923810,0.915094,0.919431,106
Glass,0.777778,0.875000,0.823529,8
Metal,0.923077,0.979592,0.950495,49
Mixed,0.933535,0.863128,0.896952,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.773256,0.875000,0.820988,152
Plastic,0.893130,0.863469,0.878049,271
Rubber,0.767442,0.846154,0.804878,39
Styrofoam,0.666667,0.777778,0.717949,18
Textile,0.870690,0.926606,0.897778,109
Wood,0.916667,0.880000,0.897959,25
accuracy,0.884422,0.884422,0.884422,1194
macro avg,0.857191,0.889534,0.871914,1194
weighted avg,0.888532,0.884422,0.885337,1194
