label,precision,recall,f1-score,support
Ceramic,0.914286,0.905660,0.909953,106
Glass,0.583333,0.875000,0.700000,8
Metal,0.842105,0.979592,0.905660,49
Mixed,0.930464,0.784916,0.851515,358
Organic,0.966667,0.983051,0.974790,59
Paper,0.706806,0.888158,0.787172,152
Plastic,0.914894,0.793358,0.849802,271
Rubber,0.642857,0.923077,0.757895,39
Styrofoam,0.517241,0.833333,0.638298,18
Textile,0.833333,0.917431,0.873362,109
Wood,0.814815,0.880000,0.846154,25
accuracy,0.848409,0.848409,0.848409,1194
macro avg,0.787891,0.887598,0.826782,1194
weighted avg,0.865946,0.848409,0.851031,1194
