label,precision,recall,f1-score,support
Ceramic,0.924528,0.924528,0.924528,106
Glass,0.636364,0.875000,0.736842,8
Metal,0.888889,0.979592,0.932039,49
Mixed,0.941358,0.851955,0.894428,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.775862,0.888158,0.828221,152
Plastic,0.877778,0.874539,0.876155,271
Rubber,0.871795,0.871795,0.871795,39
Styrofoam,0.722222,0.722222,0.722222,18
Textile,0.871795,0.935780,0.902655,109
Wood,0.954545,0.840000,0.893617,25
accuracy,0.886097,0.886097,0.886097,1194
macro avg,0.858926,0.886056,0.869596,1194
weighted avg,0.890578,0.886097,0.886790,1194
