label,precision,recall,f1-score,support
Ceramic,0.891892,0.933962,0.912442,106
Glass,0.583333,0.875000,0.700000,8
Metal,0.827586,0.979592,0.897196,49
Mixed,0.931148,0.793296,0.856712,358
Organic,1.000000,0.983051,0.991453,59
Paper,0.712766,0.881579,0.788235,152
Plastic,0.872093,0.830258,0.850662,271
Rubber,0.767442,0.846154,0.804878,39
Styrofoam,0.647059,0.611111,0.628571,18
Textile,0.830508,0.899083,0.863436,109
Wood,0.807692,0.840000,0.823529,25
accuracy,0.852596,0.852596,0.852596,1194
macro avg,0.806502,0.861190,0.828829,1194
weighted avg,0.861878,0.852596,0.853625,1194
