model_name,true_label,pred_label,count
focal_capped10_resnet50_finetuned,Mixed,Paper,19
focal_capped10_resnet50_finetuned,Mixed,Plastic,17
focal_capped10_resnet50_finetuned,Plastic,Mixed,13
focal_capped10_resnet50_finetuned,Plastic,Paper,7
focal_capped10_resnet50_finetuned,Mixed,Textile,6
focal_capped10_resnet50_finetuned,Plastic,Textile,5
focal_capped10_resnet50_finetuned,Paper,Plastic,5
focal_capped10_resnet50_finetuned,Mixed,Metal,5
focal_capped10_resnet50_finetuned,Ceramic,Paper,3
focal_capped10_resnet50_finetuned,Paper,Textile,3
focal_capped10_resnet50_finetuned,Styrofoam,Paper,3
focal_capped10_resnet50_finetuned,Plastic,Styrofoam,3
focal_capped10_resnet50_finetuned,Textile,Plastic,3
focal_capped10_resnet50_finetuned,Plastic,Ceramic,3
focal_capped10_resnet50_finetuned,Mixed,Glass,2
focal_capped10_resnet50_finetuned,Ceramic,Plastic,2
focal_capped10_resnet50_finetuned,Ceramic,Mixed,2
focal_capped10_resnet50_finetuned,Mixed,Ceramic,2
focal_capped10_resnet50_finetuned,Wood,Plastic,2
focal_capped10_resnet50_finetuned,Textile,Paper,2
focal_capped10_resnet50_finetuned,Rubber,Plastic,2
focal_capped10_resnet50_finetuned,Wood,Paper,2
focal_capped10_resnet50_finetuned,Paper,Styrofoam,2
focal_capped10_resnet50_finetuned,Paper,Rubber,2
focal_capped10_resnet50_finetuned,Paper,Mixed,2
focal_capped10_resnet50_finetuned,Paper,Ceramic,2
focal_capped10_resnet50_finetuned,Rubber,Paper,2
focal_capped10_resnet50_finetuned,Glass,Plastic,1
focal_capped10_resnet50_finetuned,Metal,Paper,1
focal_capped10_resnet50_finetuned,Ceramic,Textile,1
focal_capped10_resnet50_finetuned,Mixed,Wood,1
focal_capped10_resnet50_finetuned,Mixed,Rubber,1
focal_capped10_resnet50_finetuned,Organic,Ceramic,1
focal_capped10_resnet50_finetuned,Paper,Glass,1
focal_capped10_resnet50_finetuned,Plastic,Metal,1
focal_capped10_resnet50_finetuned,Plastic,Glass,1
focal_capped10_resnet50_finetuned,Plastic,Rubber,1
focal_capped10_resnet50_finetuned,Rubber,Mixed,1
focal_capped10_resnet50_finetuned,Styrofoam,Mixed,1
focal_capped10_resnet50_finetuned,Styrofoam,Plastic,1
focal_capped10_resnet50_finetuned,Textile,Organic,1
focal_capped10_resnet50_finetuned,Textile,Rubber,1
