label,precision,recall,f1-score,support
Ceramic,0.904762,0.896226,0.900474,106
Glass,0.636364,0.875000,0.736842,8
Metal,0.857143,0.979592,0.914286,49
Mixed,0.931889,0.840782,0.883994,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.784884,0.888158,0.833333,152
Plastic,0.909804,0.856089,0.882129,271
Rubber,0.729167,0.897436,0.804598,39
Styrofoam,0.736842,0.777778,0.756757,18
Textile,0.836066,0.935780,0.883117,109
Wood,0.916667,0.880000,0.897959,25
accuracy,0.878559,0.878559,0.878559,1194
macro avg,0.838785,0.891808,0.861504,1194
weighted avg,0.884606,0.878559,0.879437,1194
