label,precision,recall,f1-score,support
Ceramic,0.891892,0.933962,0.912442,106
Glass,0.538462,0.875000,0.666667,8
Metal,0.774194,0.979592,0.864865,49
Mixed,0.929260,0.807263,0.863976,358
Organic,0.983333,1.000000,0.991597,59
Paper,0.788462,0.809211,0.798701,152
Plastic,0.873077,0.837638,0.854991,271
Rubber,0.760870,0.897436,0.823529,39
Styrofoam,0.600000,0.833333,0.697674,18
Textile,0.792000,0.908257,0.846154,109
Wood,0.880000,0.880000,0.880000,25
accuracy,0.856784,0.856784,0.856784,1194
macro avg,0.801050,0.887427,0.836418,1194
weighted avg,0.864931,0.856784,0.857831,1194
