model_name,true_label,pred_label,count
resnet50_finetuned,Mixed,Paper,13
resnet50_finetuned,Plastic,Mixed,11
resnet50_finetuned,Mixed,Plastic,10
resnet50_finetuned,Mixed,Textile,10
resnet50_finetuned,Plastic,Paper,8
resnet50_finetuned,Ceramic,Mixed,6
resnet50_finetuned,Plastic,Textile,5
resnet50_finetuned,Mixed,Ceramic,4
resnet50_finetuned,Paper,Mixed,4
resnet50_finetuned,Ceramic,Paper,3
resnet50_finetuned,Rubber,Plastic,3
resnet50_finetuned,Plastic,Ceramic,3
resnet50_finetuned,Styrofoam,Paper,3
resnet50_finetuned,Mixed,Rubber,3
resnet50_finetuned,Paper,Plastic,3
resnet50_finetuned,Mixed,Metal,3
resnet50_finetuned,Wood,Paper,3
resnet50_finetuned,Ceramic,Plastic,2
resnet50_finetuned,Textile,Plastic,2
resnet50_finetuned,Styrofoam,Plastic,2
resnet50_finetuned,Mixed,Glass,2
resnet50_finetuned,Plastic,Rubber,2
resnet50_finetuned,Textile,Paper,2
resnet50_finetuned,Ceramic,Styrofoam,1
resnet50_finetuned,Glass,Plastic,1
resnet50_finetuned,Paper,Textile,1
resnet50_finetuned,Paper,Rubber,1
resnet50_finetuned,Paper,Ceramic,1
resnet50_finetuned,Organic,Wood,1
resnet50_finetuned,Paper,Styrofoam,1
resnet50_finetuned,Plastic,Metal,1
resnet50_finetuned,Plastic,Glass,1
resnet50_finetuned,Plastic,Styrofoam,1
resnet50_finetuned,Plastic,Wood,1
resnet50_finetuned,Rubber,Textile,1
resnet50_finetuned,Textile,Organic,1
resnet50_finetuned,Textile,Rubber,1
resnet50_finetuned,Wood,Plastic,1
