label,precision,recall,f1-score,support
Ceramic,0.921569,0.886792,0.903846,106
Glass,0.700000,0.875000,0.777778,8
Metal,0.924528,1.000000,0.960784,49
Mixed,0.937126,0.874302,0.904624,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.815029,0.927632,0.867692,152
Plastic,0.908397,0.878229,0.893058,271
Rubber,0.833333,0.897436,0.864198,39
Styrofoam,0.812500,0.722222,0.764706,18
Textile,0.858333,0.944954,0.899563,109
Wood,0.913043,0.840000,0.875000,25
accuracy,0.897822,0.897822,0.897822,1194
macro avg,0.873355,0.893602,0.881300,1194
weighted avg,0.900878,0.897822,0.898047,1194
