label,precision,recall,f1-score,support
Ceramic,0.882883,0.924528,0.903226,106
Glass,0.636364,0.875000,0.736842,8
Metal,0.827586,0.979592,0.897196,49
Mixed,0.944444,0.759777,0.842105,358
Organic,0.983051,0.983051,0.983051,59
Paper,0.744444,0.881579,0.807229,152
Plastic,0.874510,0.822878,0.847909,271
Rubber,0.777778,0.897436,0.833333,39
Styrofoam,0.535714,0.833333,0.652174,18
Textile,0.755725,0.908257,0.825000,109
Wood,0.821429,0.920000,0.867925,25
accuracy,0.847571,0.847571,0.847571,1194
macro avg,0.798539,0.889585,0.835999,1194
weighted avg,0.861284,0.847571,0.848758,1194
