,precision,recall,f1-score,support
Ceramic,0.4065934065934066,0.6981132075471698,0.5138888888888888,106.0
Glass,0.0967741935483871,0.75,0.17142857142857143,8.0
Metal,0.5476190476190477,0.9387755102040817,0.6917293233082706,49.0
Mixed,0.6751269035532995,0.3715083798882682,0.47927927927927927,358.0
Organic,0.6373626373626373,0.9830508474576272,0.7733333333333333,59.0
Paper,0.49382716049382713,0.2631578947368421,0.34334763948497854,152.0
Plastic,0.656934306569343,0.33210332103321033,0.4411764705882353,271.0
Rubber,0.21686746987951808,0.46153846153846156,0.29508196721311475,39.0
Styrofoam,0.15942028985507245,0.6111111111111112,0.25287356321839083,18.0
Textile,0.4296875,0.5045871559633027,0.4641350210970464,109.0
Wood,0.2125,0.68,0.3238095238095238,25.0
accuracy,0.45896147403685095,0.45896147403685095,0.45896147403685095,0.45896147403685095
macro avg,0.41206481049768534,0.5994496263163703,0.4318257801499666,1194.0
weighted avg,0.5582688564280942,0.45896147403685095,0.4635180714150685,1194.0
