set,filepath,true_label,pred_label,confidence,is_correct
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (11)_.jpg_segmented_object_2.jpg,Organic,Organic,1.0,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (112)_.jpg_segmented_object_3.jpg,Organic,Organic,1.0,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (87)_.jpg_segmented_object_11.jpg,Organic,Organic,1.0,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (188)_.jpg_segmented_object_1.jpg,Organic,Organic,0.99999964,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (172)_.jpg_segmented_object_4.jpg,Organic,Organic,0.9999995,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (6)_.jpeg_segmented_object_1.jpg,Organic,Organic,0.9999993,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (167)_.jpg_segmented_object_3.jpg,Organic,Organic,0.9999993,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Ceramic\014_Ceramic\#014τô╖σÖ¿\porcelain (51)_segmented_object_14.jpg,Ceramic,Ceramic,0.99999905,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Ceramic\014_Ceramic\#014τô╖σÖ¿\porcelain (258)_segmented_object_1.jpg,Ceramic,Ceramic,0.9999989,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Textile\025_Plush toy\#025τ╡¿µ»¢τÄ⌐σü╢\Plush toys (159)_.jpg_segmented_object_3.jpg,Textile,Textile,0.99999845,True
