bin,bin_lower,bin_upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,1,0.27724501490592957,0.0,-0.27724501490592957
3,0.30000000000000004,0.4,10,0.37235549092292786,0.30000001192092896,-0.0723554790019989
4,0.4,0.5,31,0.4562646448612213,0.4838709533214569,0.027606308460235596
5,0.5,0.6000000000000001,40,0.5566903948783875,0.5249999761581421,-0.03169041872024536
6,0.6000000000000001,0.7000000000000001,46,0.6536025404930115,0.54347825050354,-0.11012428998947144
7,0.7000000000000001,0.8,56,0.7542546391487122,0.5892857313156128,-0.16496890783309937
8,0.8,0.9,88,0.8554134368896484,0.8181818127632141,-0.037231624126434326
9,0.9,1.0,922,0.9862029552459717,0.9848155975341797,-0.0013873577117919922
