,precision,recall,f1-score,support
Ceramic,0.8715596330275229,0.8962264150943396,0.8837209302325582,106.0
Glass,0.7,0.875,0.7777777777777778,8.0
Metal,0.7384615384615385,0.9795918367346939,0.8421052631578947,49.0
Mixed,0.9015384615384615,0.8184357541899442,0.8579795021961932,358.0
Organic,0.9827586206896551,0.9661016949152542,0.9743589743589743,59.0
Paper,0.8053691275167785,0.7894736842105263,0.7973421926910299,152.0
Plastic,0.8860759493670886,0.7749077490774908,0.8267716535433071,271.0
Rubber,0.6923076923076923,0.9230769230769231,0.7912087912087912,39.0
Styrofoam,0.40625,0.7222222222222222,0.52,18.0
Textile,0.7795275590551181,0.908256880733945,0.8389830508474576,109.0
Wood,0.7666666666666667,0.92,0.8363636363636363,25.0
accuracy,0.838358458961474,0.838358458961474,0.838358458961474,0.838358458961474
macro avg,0.7755013862391386,0.8702993782050309,0.8133283429434198,1194.0
weighted avg,0.8508323489126445,0.838358458961474,0.8405612711079617,1194.0
