,precision,recall,f1-score,support
Ceramic,0.8518518518518519,0.8679245283018868,0.8598130841121495,106.0
Glass,0.6363636363636364,0.875,0.7368421052631579,8.0
Metal,0.7058823529411765,0.9795918367346939,0.8205128205128205,49.0
Mixed,0.8896321070234113,0.7430167597765364,0.8097412480974124,358.0
Organic,0.9827586206896551,0.9661016949152542,0.9743589743589743,59.0
Paper,0.7388535031847133,0.7631578947368421,0.7508090614886731,152.0
Plastic,0.8683127572016461,0.7785977859778598,0.8210116731517509,271.0
Rubber,0.7391304347826086,0.8717948717948718,0.8,39.0
Styrofoam,0.3783783783783784,0.7777777777777778,0.509090909090909,18.0
Textile,0.7404580152671756,0.8899082568807339,0.8083333333333333,109.0
Wood,0.6111111111111112,0.88,0.7213114754098361,25.0
accuracy,0.8073701842546064,0.8073701842546064,0.8073701842546064,0.8073701842546064
macro avg,0.7402484335268512,0.8538974006269506,0.7828931531653652,1194.0
weighted avg,0.8255356637448484,0.8073701842546064,0.8104995775726908,1194.0
