,precision,recall,f1-score,support
Ceramic,0.9339622641509434,0.9339622641509434,0.9339622641509434,106.0
Glass,0.7777777777777778,0.875,0.8235294117647058,8.0
Metal,0.9245283018867925,1.0,0.9607843137254902,49.0
Mixed,0.9027777777777778,0.9078212290502793,0.9052924791086351,358.0
Organic,0.9830508474576272,0.9830508474576272,0.9830508474576272,59.0
Paper,0.8280254777070064,0.8552631578947368,0.8414239482200647,152.0
Plastic,0.9230769230769231,0.8856088560885609,0.903954802259887,271.0
Rubber,0.8648648648648649,0.8205128205128205,0.8421052631578947,39.0
Styrofoam,0.8666666666666667,0.7222222222222222,0.7878787878787878,18.0
Textile,0.9017857142857143,0.926605504587156,0.9140271493212669,109.0
Wood,0.8846153846153846,0.92,0.9019607843137255,25.0
accuracy,0.9020100502512562,0.9020100502512562,0.9020100502512562,0.9020100502512562
macro avg,0.8901029091152253,0.8936406274513042,0.890724550123548,1194.0
weighted avg,0.9024053847794704,0.9020100502512562,0.9018689012213353,1194.0
