,precision,recall,f1-score,support
Ceramic,0.8928571428571429,0.9433962264150944,0.9174311926605505,106.0
Glass,0.7272727272727273,1.0,0.8421052631578947,8.0
Metal,0.8571428571428571,0.9795918367346939,0.9142857142857143,49.0
Mixed,0.9057750759878419,0.8324022346368715,0.8675400291120815,358.0
Organic,0.9666666666666667,0.9830508474576272,0.9747899159663865,59.0
Paper,0.7485380116959064,0.8421052631578947,0.7925696594427245,152.0
Plastic,0.9253112033195021,0.8228782287822878,0.87109375,271.0
Rubber,0.8461538461538461,0.8461538461538461,0.8461538461538461,39.0
Styrofoam,0.6,0.8333333333333334,0.6976744186046512,18.0
Textile,0.8290598290598291,0.8899082568807339,0.8584070796460177,109.0
Wood,0.696969696969697,0.92,0.7931034482758621,25.0
accuracy,0.8634840871021775,0.8634840871021775,0.8634840871021775,0.8634840871021775
macro avg,0.8177951870114561,0.899347279413853,0.8522867561187026,1194.0
weighted avg,0.8709302572589165,0.8634840871021775,0.8646277855108156,1194.0
